[1122/152755.660:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.663:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.700:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.703:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.706:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.710:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.712:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.715:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.717:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.720:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.722:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
